id,date,category,description,amount
1,2025-01-04,Food,Lunch at office,12.5
2,2025-01-05,Transport,Uber to client meeting,20.0
3,2025-01-06,Utilities,Internet bill - monthly,55.0
4,2025-01-07,Software,VS Code extension subscription,9.99
5,2025-01-08,Food,Cafe lunch,12.5
6,2025-01-09,Transport,Taxi to office,8.0
7,2025-01-10,Utilities,Electricity bill,45.0
8,2025-01-11,Food,Dinner at restaurant,20.0
9,2025-01-12,Subscription,Netflix,15.0
10,2025-01-13,Transport,Bus pass,30.0
11,2025-01-01,Food,Lunch,12.5
